time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),pressure_msl (hPa),surface_pressure (hPa)
2023-02-15T00:00,0.8,89,-0.7,-1.8,0.00,1036.2,1005.9
2023-02-15T01:00,0.2,93,-0.9,-2.6,0.00,1035.9,1005.5
2023-02-15T02:00,-0.3,96,-0.9,-2.8,0.00,1035.8,1005.4
2023-02-15T03:00,-1.5,99,-1.6,-4.1,0.00,1035.4,1004.8
2023-02-15T04:00,-3.0,99,-3.2,-6.0,0.00,1034.9,1004.2
2023-02-15T05:00,-2.9,97,-3.3,-6.1,0.00,1034.8,1004.1
2023-02-15T06:00,-2.9,95,-3.6,-6.1,0.00,1034.7,1004.0
2023-02-15T07:00,-2.7,98,-3.0,-5.9,0.00,1035.0,1004.3
2023-02-15T08:00,-1.6,98,-1.9,-4.8,0.00,1035.1,1004.5
2023-02-15T09:00,0.1,94,-0.8,-3.0,0.00,1035.1,1004.7
2023-02-15T10:00,1.2,92,0.1,-1.6,0.00,1035.1,1004.8
2023-02-15T11:00,3.4,85,1.0,0.9,0.00,1034.7,1004.7
2023-02-15T12:00,5.7,74,1.5,3.4,0.00,1033.8,1004.0
2023-02-15T13:00,7.7,66,1.8,5.5,0.00,1032.5,1003.0
2023-02-15T14:00,9.2,60,1.8,7.1,0.00,1031.5,1002.2
2023-02-15T15:00,9.7,58,1.9,7.4,0.00,1030.8,1001.5
2023-02-15T16:00,8.3,70,3.2,6.1,0.00,1030.4,1001.0
2023-02-15T17:00,4.1,77,0.5,1.0,0.00,1030.2,1000.4
2023-02-15T18:00,1.9,83,-0.8,-1.3,0.00,1030.5,1000.4
2023-02-15T19:00,0.7,87,-1.3,-2.4,0.00,1030.6,1000.4
2023-02-15T20:00,0.2,89,-1.4,-2.7,0.00,1030.6,1000.4
2023-02-15T21:00,0.1,90,-1.4,-2.7,0.00,1030.6,1000.3
2023-02-15T22:00,-1.2,91,-2.5,-4.3,0.00,1030.5,1000.1
2023-02-15T23:00,-1.4,91,-2.6,-4.4,0.00,1030.1,999.7
2023-02-16T00:00,-1.5,92,-2.7,-4.6,0.00,1030.1,999.7
2023-02-16T01:00,-1.1,91,-2.4,-4.4,0.00,1030.1,999.7
2023-02-16T02:00,-1.3,89,-2.9,-4.6,0.00,1029.9,999.5
2023-02-16T03:00,-1.7,88,-3.4,-5.0,0.00,1029.7,999.3
2023-02-16T04:00,-2.0,88,-3.7,-5.3,0.00,1029.3,998.9
2023-02-16T05:00,-1.7,87,-3.5,-5.0,0.00,1029.2,998.8
2023-02-16T06:00,-1.5,86,-3.5,-4.9,0.00,1028.7,998.3
2023-02-16T07:00,-1.5,86,-3.6,-5.0,0.00,1028.9,998.5
2023-02-16T08:00,0.3,81,-2.5,-3.2,0.00,1029.4,999.2
2023-02-16T09:00,3.9,68,-1.5,0.4,0.00,1029.2,999.4
2023-02-16T10:00,8.0,50,-1.7,4.6,0.00,1029.1,999.7
2023-02-16T11:00,10.9,43,-1.2,7.1,0.00,1028.7,999.6
2023-02-16T12:00,12.7,39,-0.9,8.5,0.00,1028.2,999.3
2023-02-16T13:00,12.8,43,0.5,9.1,0.00,1028.0,999.1
